OS,Budget,Size,Camera Importance,Usage Hours (Battery),Speed Importance,top,second,third,confidence,difficulty
Must be Android,400.00,Large,A little,A little,A lot,Motorola Moto G100,Motorola Edge (2021),Samsung Galaxy A42,OK,Medium
Must be Android,400.00,Large,A ton,A little,I need speed,Google Pixel 6,OnePlus 9,Samsung Galaxy S20 FE,OK,Hard
Must be Android,400.00,Medium,Not sure,Not sure,I need speed,OnePlus 8T,Motorola Moto G100,OnePlus 9,OK,Medium
Must be Android,400.00,No preference,Somewhat,A little,A little,Google Pixel 5a,Samsung Galaxy A53,Samsung Galaxy A42,Good,Medium
Must be Android,400.00,No preference,A ton,A lot,A lot,Motorola Moto G100,Samsung Galaxy A42,Samsung Galaxy A53,Good,Medium
Must be Android,400.00,No preference,Not sure,A lot,A lot,Motorola Moto G100,OnePlus 8T,Motorola Edge (2021),OK,Medium
Must be Android,400.00,Small,A ton,A ton,Not sure,Google Pixel 5a,OnePlus 8T,Samsung Galaxy A53,OK,Hard
Must be Android,400.00,Small,Somewhat,Not sure,I need speed,OnePlus 8T,Motorola Moto G100,OnePlus 9,OK,Medium
Must be Android,600.00,Large,A little,A little,Not sure,Google Pixel 6,OnePlus 9,Samsung Galaxy S20 FE,Good,Easy
Must be Android,600.00,No preference,A lot,A ton,I need speed,Samsung Galaxy S20 FE,Google Pixel 6,OnePlus 9,Good,Medium
Must be Android,600.00,Small,A lot,A little,Not sure,Google Pixel 6,OnePlus 9,Samsung Galaxy S22,OK,Hard
Must be Android,800.00,Large,A little,Not sure,I need speed,Motorola Edge 30 Pro,OnePlus 9 Pro,Samsung Galaxy S22+,OK,Medium
Must be Android,800.00,Large,A lot,Not sure,A little,Samsung Galaxy S22 Ultra,Samsung Galaxy S22+,Google Pixel 6 Pro,Good,Easy
Must be Android,800.00,No preference,A little,Not sure,Not sure,Samsung Galaxy S22 Ultra,Samsung Galaxy S22+,Google Pixel 6 Pro,OK,Easy
Must be Android,800.00,No preference,Not sure,Not sure,I need speed,Samsung Galaxy S22,OnePlus 9 Pro,Sony Xperia 5 III,OK,Medium
Must be Android,800.00,No preference,Not sure,Not sure,Not sure,Samsung Galaxy S22 Ultra,Samsung Galaxy S22+,Google Pixel 6 Pro,Good,Easy
Must be Android,800.00,No preference,Somewhat,Not sure,A lot,Samsung Galaxy S22 Ultra,Samsung Galaxy S22,Samsung Galaxy S22+,OK,Medium
Must be Android,800.00,Small,A little,A little,Not sure,Samsung Galaxy S22,Sony Xperia 5 III,Google Pixel 5a,Good,Medium
Must be Android,Not sure,Large,Not sure,Not sure,A little,Motorola Moto G Stylus,Motorola Moto G100,Motorola Edge (2021),Good,Medium
Must be Android,Not sure,Large,Somewhat,Not sure,Not sure,Samsung Galaxy S22 Ultra,Samsung Galaxy S22+,Google Pixel 6,Good,Medium
Must be Android,Not sure,Medium,A ton,A little,A little,Google Pixel 5a,Google Pixel 6,Samsung Galaxy S22,OK,Medium
Must be Android,Not sure,No preference,Somewhat,Not sure,A little,Google Pixel 6,Samsung Galaxy S22,OnePlus 9,Poor,Medium
Must be Android,Not sure,No preference,A lot,Not sure,A little,Google Pixel 6,Google Pixel 5a,Samsung Galaxy S22,Good,Medium
Must be Android,Not sure,No preference,Somewhat,A little,A little,OnePlus 8T,Motorola Moto G100,Google Pixel 5a,OK,Medium
Must be Android,Not sure,Large,A ton,Not sure,A lot,Samsung Galaxy S22 Ultra,Samsung Galaxy S22+,Google Pixel 6 Pro,Good,Easy
Must be Android,Not sure,Small,A little,A lot,A little,Samsung Galaxy S22,Sony Xperia 5 III,OnePlus 9,OK,Medium
Must be Android,Not sure,Small,A little,A lot,A lot,Sony Xperia 5 III,Google Pixel 6,Samsung Galaxy S21 FE,OK,Hard
Must be Android,Not sure,Small,A little,A ton,A little,Apple iPhone 13 Pro,Apple iPhone 13,Sony Xperia 5 III,Good,Medium
Must be Android,Not sure,Small,A lot,A lot,A little,Google Pixel 5a,Samsung Galaxy S21 FE,Sony Xperia 5 III,OK,Medium
Must be iPhone,400.00,Medium,A ton,A little,A lot,Apple iPhone SE (2022),Apple iPhone 12 mini,Apple iPhone 11,OK,Medium
Must be iPhone,400.00,Medium,A ton,Not sure,A little,Apple iPhone 11,Apple iPhone SE (2022),Apple iPhone 12 mini,OK,Medium
Must be iPhone,400.00,No preference,A ton,Not sure,A lot,Apple iPhone SE (2022),Apple iPhone 12 mini,Apple iPhone 11,Good,Medium
Must be iPhone,400.00,No preference,Not sure,A ton,I need speed,Apple iPhone 11,Apple iPhone SE (2022),Apple iPhone 12 mini,OK,Medium
Must be iPhone,400.00,No preference,Not sure,Not sure,A little,Apple iPhone SE (2022),Apple iPhone 11,Apple iPhone 12 mini,OK,Easy
